Rank,Organisation ID,Organisation name,Approved invoice total,Invoice count,First invoice date,Last invoice date
43,103408,Obelix Consulting Oy,4611.5,1,2025-09-01 00:00:00,2025-09-01 00:00:00
44,105564,Kuopion steinerkouluyhdistys ry,4605.1,5,2025-06-16 00:00:00,2026-05-13 00:00:00
45,105258,LVI-Kartoitus Westerholm Oy,4588.2,8,2025-07-16 00:00:00,2026-03-11 00:00:00
46,103546,Medizone Oy,4549.41,4,2025-06-05 00:00:00,2026-01-07 00:00:00
47,106393,Ravintola Werner Oy,4454.2,11,2025-08-12 00:00:00,2026-05-29 00:00:00
48,105092,Kapre Oy,4443.82,11,2025-06-01 00:00:00,2026-03-16 00:00:00
49,105653,Moondo Oy,4395.8,8,2025-06-06 00:00:00,2026-04-01 00:00:00
50,105624,Voisula Oy,4374.0,4,2025-06-27 00:00:00,2026-04-05 00:00:00
51,106889,viherio oy,4223.18,13,2025-07-11 00:00:00,2026-05-12 00:00:00
52,104988,Tarteim OÜ,4219.27,6,2025-09-01 00:00:00,2026-05-11 00:00:00
53,107521,HardCoreIT Oy,4201.0,13,2025-09-15 00:00:00,2026-05-01 00:00:00
54,105158,A.T. Sillanpää Oy,4180.55,20,2025-06-05 00:00:00,2026-05-27 00:00:00
55,107474,Weldpipemetall Oü,4110.0,4,2025-09-03 00:00:00,2025-12-12 00:00:00
56,107144,Palvelukoti Vantaan Kaskelanrinne Oy,4053.5,6,2025-07-18 00:00:00,2026-04-24 00:00:00
57,101163,Meri-Helsingin musiikkiopiston kannatusyhdistys r.y,4025.32,12,2025-06-01 00:00:00,2026-05-16 00:00:00
58,107710,Benevan Oy,3906.0,8,2025-10-28 00:00:00,2026-05-14 00:00:00
59,104100,Intu Enterprises Oy,3877.32,15,2025-06-16 00:00:00,2026-05-12 00:00:00
60,105068,Ideapata Oy Jollas89 Hotelli,3853.9,20,2025-06-01 00:00:00,2026-05-23 00:00:00
61,107091,Nordic C-Creditor Oy,3831.0,4,2025-09-03 00:00:00,2026-04-10 00:00:00
62,105308,Otron Oy,3790.8,11,2025-08-19 00:00:00,2026-02-23 00:00:00
63,104765,Sportti Iltapäiväkerhot Oy,3742.77,2,2026-02-03 00:00:00,2026-04-01 00:00:00
64,107847,Sandstone Rakennus Oy,3710.0,8,2025-11-26 00:00:00,2026-05-12 00:00:00
65,100513,Mia Group Oy,3677.47,13,2025-06-01 00:00:00,2026-05-16 00:00:00
66,104280,Haavis Oü,3653.0,7,2025-06-01 00:00:00,2026-05-08 00:00:00
67,105192,Kindermaa Oy,3650.78,17,2025-06-26 00:00:00,2025-12-17 00:00:00
68,106628,Avento Oy,3645.0,8,2025-05-30 00:00:00,2026-05-22 00:00:00
69,105110,MUUNTO PALVELUT OY,3626.74,23,2025-06-04 00:00:00,2026-05-12 00:00:00
70,106402,Pieksäwood Oy,3598.49,18,2025-06-24 00:00:00,2026-05-13 00:00:00
71,106423,Veijo Kinnunen Oy,3579.49,10,2025-07-10 00:00:00,2026-05-23 00:00:00
72,800007,If Vahinkovakuutusyhtiö Oy,3460.75,42,2025-06-02 00:00:00,2026-05-13 00:00:00
